Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
1515,Shoulder,Neurostimulator Implants for Chronic Pain,6744095,USA,,
1516,Hand,POWER KNEE by Össur,6783384,UK,,
1517,Arm,Cochlear Implant Chips,4523576,USA,,
1518,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,5178143,Switzerland,,
1519,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,4617866,USA,,
1520,Heart,Myoelectric Control Chips,1837453,USA,Weak Password Policy,6
1521,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,5549608,UK,,
1522,Bladder,Cochlear Implant Chips,4610280,USA,,
1523,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,4835362,USA,Software Vulnerabilities,4
1524,Eye,Integra LifeSciences Cadence Total Ankle System,6481319,USA,,
1525,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,5065017,Germany,Software Vulnerabilities,6
1526,Leg,i-Limb Ultra Prosthetic Hand Control System,3908198,Iceland,,
1527,Hand,POWER KNEE by Össur,1803461,USA,,
1528,Hand,Neurostimulator Implants for Chronic Pain,3656453,UK,,
1529,Heart,Cochlear Implant Chips,4367117,USA,,
1530,Ear,Myoelectric Control Chips,1186244,Germany,,
1531,Pancreas,Cardiac Implant Chips,5711209,USA,,
1532,Ankle,Neuroprosthetic Chips,4640886,USA,,
1533,Pancreas,Össur Proprio Foot Prosthetic Foot,51594,China,,
1534,Foot,Artificial Pancreas Control Chips,1596390,USA,,
1535,Hip,Neuroprosthetic Chips,2981113,UK,,
1536,Brain,Cochlear Implant Chips,3379876,Iceland,Software Vulnerabilities,2
1537,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,5219760,USA,,
1538,Spine,DePuy Synthes ATTUNE® Primary Total Hip System,85546,China,Hardware Vulnerabilities,7
1539,Eye,Myoelectric Control Chips,2929859,USA,,
1540,Cochlea,GENUTECH Genutrain OA Prosthetic Knee Implant,1498161,USA,,
1541,Spine,Össur Proprio Foot Prosthetic Foot,2166820,USA,,
1542,Bladder,Integra LifeSciences Cadence Total Ankle System,4475834,USA,,
1543,Shoulder,Integra LifeSciences Cadence Total Ankle System,3797531,Germany,,
1544,Spine,Cardiac Implant Chips,2476290,USA,,
1545,Hand,Cochlear Implant Chips,2814663,USA,,
1546,Arm,Integra LifeSciences Cadence Total Ankle System,3455354,Germany,Software Vulnerabilities,1
1547,Hip,Cochlear Implant Chips,1234643,USA,,
1548,Eye,Cochlear Implant Chips,973374,USA,,
1549,Hip,Artificial Pancreas Control Chips,6663104,Germany,,
1550,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,1147370,Iceland,,
1551,Pancreas,Modular Prosthetic Limb Control System,2435413,USA,,
1552,Hand,Össur Proprio Foot Prosthetic Foot,3032862,USA,,
1553,Cochlea,Integra LifeSciences Cadence Total Ankle System,6727935,USA,,
1554,Knee,Integra LifeSciences Cadence Total Ankle System,6263556,USA,,
1555,Spine,Össur Proprio Foot Prosthetic Foot,5785565,USA,Hardware Vulnerabilities,2
1556,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,3523609,USA,,
1557,Brain,Myoelectric Control Chips,2683751,USA,,
1558,Eye,Neuroprosthetic Chips,4704781,Germany,,
1559,Bladder,Retinal Implant Chips,6235802,Germany,,
1560,Spine,Cardiac Implant Chips,5390269,USA,,
1561,Limbs (Arm/Leg),Myoelectric Control Chips,2616346,UK,,
1562,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,1600846,Germany,,
1563,Brain,Artificial Urinary Sphincter Control System,1669411,USA,,
1564,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,2520393,USA,,
1565,Leg,i-Limb Ultra Prosthetic Hand Control System,4748616,Iceland,,
1566,Hand,Artificial Urinary Sphincter Control System,295753,China,Weak Password Policy,7
1567,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,945296,USA,,
1568,Ankle,Neurostimulator Implants for Chronic Pain,6863631,USA,,
1569,Knee,Zimmer Biomet Comprehensive Reverse Shoulder System,1933419,USA,,
1570,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,4211646,USA,Weak Password Policy,9
1571,Hip,Artificial Pancreas Control Chips,3939641,USA,Hardware Vulnerabilities,9
1572,Heart,Artificial Urinary Sphincter Control System,6314269,UK,,
1573,Brain,Integra LifeSciences Cadence Total Ankle System,1653544,Iceland,,
1574,Bladder,Artificial Pancreas Control Chips,2439853,USA,,
1575,Hip,Artificial Pancreas Control Chips,806377,USA,,
1576,Limbs (Arm/Leg),Neuroprosthetic Chips,2200489,USA,,
1577,Knee,Cochlear Implant Chips,3248727,USA,,
1578,Ear,Neuroprosthetic Chips,5976577,USA,,
1579,Hip,Neurostimulator Implants for Chronic Pain,2675625,Iceland,,
1580,Arm,Neuroprosthetic Chips,6492133,UK,,
1581,Hip,Neurostimulator Implants for Chronic Pain,4723192,USA,,
1582,Spine,DePuy Synthes ATTUNE® Primary Total Hip System,2502511,Germany,,
1583,Ear,Modular Prosthetic Limb Control System,2659331,Germany,,
1584,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,5611100,USA,,
1585,Spine,Retinal Implant Chips,2691347,USA,,
1586,Shoulder,Retinal Implant Chips,2784530,Switzerland,Hardware Vulnerabilities,5
1587,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,290568,China,Hardware Vulnerabilities,8
1588,Leg,Artificial Pancreas Control Chips,6307507,USA,,
1589,Knee,Cochlear Implant Chips,6991557,UK,,
1590,Cochlea,Cardiac Implant Chips,6230231,Germany,Weak Password Policy,9
1591,Knee,Integra LifeSciences Cadence Total Ankle System,1785616,Switzerland,,
1592,Ankle,Myoelectric Control Chips,6459523,USA,,
1593,Ear,Cochlear Implant Chips,2089492,USA,,
1594,Limbs (Arm/Leg),Cardiac Implant Chips,2173295,USA,,
1595,Shoulder,Artificial Urinary Sphincter Control System,4535205,USA,,
1596,Eye,Artificial Pancreas Control Chips,6943277,Iceland,,
1597,Shoulder,Integra LifeSciences Cadence Total Ankle System,847382,UK,,
1598,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,1579617,USA,,
1599,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,6909441,Germany,,
1600,Pancreas,Artificial Urinary Sphincter Control System,6886255,Switzerland,Hardware Vulnerabilities,1
1601,Foot,Cochlear Implant Chips,6803620,Iceland,,
1602,Knee,POWER KNEE by Össur,4070068,USA,,
1603,Hip,Cardiac Implant Chips,2361284,UK,,
1604,Heart,Integra LifeSciences Cadence Total Ankle System,1476281,Germany,Communication Vulnerabilities,9
1605,Eye,Modular Prosthetic Limb Control System,6364457,Iceland,,
1606,Foot,Integra LifeSciences Cadence Total Ankle System,3627217,Germany,,
1607,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,57044,China,,
1608,Ankle,Cardiac Implant Chips,2301421,USA,,
1609,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,6625358,USA,,
1610,Pancreas,Neurostimulator Implants for Chronic Pain,5937682,USA,,
1611,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,3735772,USA,,
1612,Limbs (Arm/Leg),Myoelectric Control Chips,6377090,USA,,
1613,Bladder,i-Limb Ultra Prosthetic Hand Control System,2591155,Switzerland,,
1614,Foot,Integra LifeSciences Cadence Total Ankle System,802867,USA,,
1615,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,4320073,USA,,
1616,Heart,Neurostimulator Implants for Chronic Pain,5837886,USA,Weak Password Policy,8
1617,Pancreas,POWER KNEE by Össur,87047,China,,
1618,Hip,Artificial Pancreas Control Chips,2436802,USA,,
1619,Leg,Artificial Urinary Sphincter Control System,4977282,Iceland,Hardware Vulnerabilities,6
1620,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,961161,Germany,Hardware Vulnerabilities,4
1621,Ankle,Integra LifeSciences Cadence Total Ankle System,2713448,Germany,,
1622,Spine,Artificial Pancreas Control Chips,6708785,USA,,
1623,Spine,Össur Proprio Foot Prosthetic Foot,4082480,USA,,
1624,Heart,i-Limb Ultra Prosthetic Hand Control System,2274703,USA,,
1625,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,2295913,Germany,,
1626,Shoulder,Cardiac Implant Chips,6970396,USA,,
1627,Knee,Artificial Urinary Sphincter Control System,6001230,USA,,
1628,Hand,Myoelectric Control Chips,1012382,UK,,
1629,Brain,Modular Prosthetic Limb Control System,2446782,USA,,
1630,Hip,Össur Proprio Foot Prosthetic Foot,4367305,USA,Communication Vulnerabilities,7
1631,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,264317,China,,
1632,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,6409987,Iceland,,
1633,Arm,Integra LifeSciences Cadence Total Ankle System,1514484,USA,Communication Vulnerabilities,9
1634,Hand,Artificial Pancreas Control Chips,2601714,USA,Software Vulnerabilities,7
1635,Leg,Össur Proprio Foot Prosthetic Foot,6881897,Iceland,,
1636,Brain,Artificial Urinary Sphincter Control System,1260895,Iceland,Software Vulnerabilities,5
1637,Spine,Modular Prosthetic Limb Control System,5039078,Switzerland,,
1638,Hand,Neurostimulator Implants for Chronic Pain,6925961,UK,,
1639,Heart,Össur Proprio Foot Prosthetic Foot,5298277,USA,Communication Vulnerabilities,3
1640,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,2866576,USA,,
1641,Shoulder,Integra LifeSciences Cadence Total Ankle System,3694715,Germany,,
1642,Limbs (Arm/Leg),Cochlear Implant Chips,1870359,USA,,
1643,Shoulder,i-Limb Ultra Prosthetic Hand Control System,1798502,USA,,
1644,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,1578519,Iceland,Software Vulnerabilities,7
1645,Cochlea,i-Limb Ultra Prosthetic Hand Control System,3468547,Germany,,
1646,Hip,Neurostimulator Implants for Chronic Pain,4040312,Iceland,,
1647,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,1460573,USA,,
1648,Eye,i-Limb Ultra Prosthetic Hand Control System,3624444,UK,Communication Vulnerabilities,4
1649,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,3317782,Switzerland,,
1650,Arm,POWER KNEE by Össur,1117281,USA,,
1651,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,5215568,USA,,
1652,Spine,Cochlear Implant Chips,4981927,Iceland,,
1653,Ear,Neuroprosthetic Chips,5259198,USA,,
1654,Pancreas,Cardiac Implant Chips,2690700,Germany,,
1655,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,2572078,USA,Communication Vulnerabilities,9
1656,Brain,Cardiac Implant Chips,5677377,USA,,
1657,Foot,Neuroprosthetic Chips,3198253,USA,,
1658,Knee,Integra LifeSciences Cadence Total Ankle System,5392931,USA,,
1659,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,271035,China,,
1660,Hand,Cardiac Implant Chips,5771723,USA,,
1661,Brain,i-Limb Ultra Prosthetic Hand Control System,6322288,Germany,,
1662,Ankle,Neuroprosthetic Chips,1541954,USA,,
1663,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,2532384,USA,,
1664,Hip,Artificial Urinary Sphincter Control System,1626753,USA,Communication Vulnerabilities,9
1665,Spine,Artificial Urinary Sphincter Control System,6636981,UK,,
1666,Shoulder,Modular Prosthetic Limb Control System,1218285,Germany,,
1667,Limbs (Arm/Leg),Neuroprosthetic Chips,6393039,USA,,
1668,Heart,Cochlear Implant Chips,3100140,USA,,
1669,Ankle,Artificial Pancreas Control Chips,2354745,USA,,
1670,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,1279726,USA,,
1671,Cochlea,Integra LifeSciences Cadence Total Ankle System,6807096,USA,Communication Vulnerabilities,4
1672,Brain,DePuy Synthes ATTUNE® Primary Total Hip System,4259943,USA,,
1673,Hand,Modular Prosthetic Limb Control System,5317744,USA,,
1674,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,5476924,Iceland,Software Vulnerabilities,4
1675,Pancreas,Artificial Urinary Sphincter Control System,6462068,Switzerland,,
1676,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,3846448,USA,,
1677,Knee,Neuroprosthetic Chips,3931792,Iceland,,
1678,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,3920686,USA,,
1679,Heart,Integra LifeSciences Cadence Total Ankle System,5533654,USA,,
1680,Brain,Integra LifeSciences Cadence Total Ankle System,4676090,USA,,
1681,Leg,Myoelectric Control Chips,5723203,USA,,
1682,Shoulder,Artificial Urinary Sphincter Control System,1114707,USA,Hardware Vulnerabilities,4
1683,Leg,Artificial Urinary Sphincter Control System,3941019,USA,,
1684,Arm,Neurostimulator Implants for Chronic Pain,3830894,Germany,,
1685,Brain,Össur Proprio Foot Prosthetic Foot,4502687,Switzerland,,
1686,Hand,Modular Prosthetic Limb Control System,2233570,Germany,,
1687,Cochlea,Cardiac Implant Chips,3095610,USA,,
1688,Eye,i-Limb Ultra Prosthetic Hand Control System,6867905,UK,Hardware Vulnerabilities,3
1689,Foot,Cardiac Implant Chips,2596122,USA,,
1690,Hip,Neurostimulator Implants for Chronic Pain,1174547,USA,,
1691,Ear,Modular Prosthetic Limb Control System,5018307,USA,,
1692,Shoulder,Integra LifeSciences Cadence Total Ankle System,4889701,USA,,
1693,Foot,Össur Proprio Foot Prosthetic Foot,4240824,USA,,
1694,Ankle,Neurostimulator Implants for Chronic Pain,1661320,Switzerland,Weak Password Policy,3
1695,Ankle,Cardiac Implant Chips,1337386,USA,,
1696,Limbs (Arm/Leg),Integra LifeSciences Cadence Total Ankle System,2560231,Germany,,
1697,Brain,GENUTECH Genutrain OA Prosthetic Knee Implant,1055553,Iceland,,
1698,Eye,Artificial Pancreas Control Chips,3638958,USA,,
1699,Heart,Cardiac Implant Chips,4860609,USA,,
1700,Brain,Artificial Urinary Sphincter Control System,5878924,USA,,
1701,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,6652169,USA,Communication Vulnerabilities,4
1702,Limbs (Arm/Leg),Retinal Implant Chips,6588339,Germany,,
1703,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,1801373,USA,Hardware Vulnerabilities,8
1704,Bladder,i-Limb Ultra Prosthetic Hand Control System,5461755,Iceland,,
1705,Knee,Retinal Implant Chips,5964907,USA,,
1706,Bladder,i-Limb Ultra Prosthetic Hand Control System,4339801,USA,,
1707,Bladder,Neuroprosthetic Chips,2556975,USA,,
1708,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,4915463,Iceland,,
1709,Knee,Cardiac Implant Chips,2406588,USA,Weak Password Policy,2
1710,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,3575944,USA,,
1711,Knee,Artificial Pancreas Control Chips,6137158,USA,Software Vulnerabilities,7
1712,Arm,i-Limb Ultra Prosthetic Hand Control System,2264299,USA,,
1713,Eye,Cochlear Implant Chips,6742702,Switzerland,,
1714,Brain,Neuroprosthetic Chips,2593340,Germany,,
1715,Pancreas,Össur Proprio Foot Prosthetic Foot,4075832,USA,,
1716,Eye,Myoelectric Control Chips,140961,China,Communication Vulnerabilities,9
1717,Bladder,Neuroprosthetic Chips,3132487,UK,,
1718,Brain,POWER KNEE by Össur,4899433,USA,,
1719,Pancreas,Artificial Urinary Sphincter Control System,5358274,USA,,
1720,Hip,Modular Prosthetic Limb Control System,5756524,USA,,
1721,Arm,GENUTECH Genutrain OA Prosthetic Knee Implant,6525491,USA,,
1722,Bladder,GENUTECH Genutrain OA Prosthetic Knee Implant,3030278,Iceland,Communication Vulnerabilities,4
1723,Foot,Integra LifeSciences Cadence Total Ankle System,1461774,USA,,
1724,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,4423956,USA,,
1725,Cochlea,Neuroprosthetic Chips,5191670,USA,,
1726,Cochlea,Neurostimulator Implants for Chronic Pain,5628922,Iceland,,
1727,Ear,Cardiac Implant Chips,2123855,Iceland,,
1728,Ankle,Artificial Pancreas Control Chips,280538,China,,
1729,Eye,POWER KNEE by Össur,4390487,Iceland,Communication Vulnerabilities,8
1730,Hand,Integra LifeSciences Cadence Total Ankle System,2356710,USA,,
1731,Foot,Artificial Urinary Sphincter Control System,4421847,USA,,
1732,Ankle,i-Limb Ultra Prosthetic Hand Control System,5955461,Germany,,
1733,Shoulder,Advanced Bionics HiRes Ultra Cochlear Implant,3513855,USA,,
1734,Bladder,Myoelectric Control Chips,817406,USA,,
1735,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,78438,China,Weak Password Policy,9
1736,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,5317046,USA,,
1737,Pancreas,Myoelectric Control Chips,4899920,Germany,,
1738,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,3768721,Iceland,,
1739,Heart,Cochlear Implant Chips,2330696,USA,,
1740,Ear,Artificial Pancreas Control Chips,2545995,USA,Software Vulnerabilities,1
1741,Leg,Modular Prosthetic Limb Control System,3658187,USA,,
1742,Knee,Integra LifeSciences Cadence Total Ankle System,2611269,Iceland,,
1743,Foot,Cochlear Implant Chips,3105030,Germany,,
1744,Leg,Retinal Implant Chips,2492889,USA,,
1745,Brain,GENUTECH Genutrain OA Prosthetic Knee Implant,1504641,USA,,
1746,Limbs (Arm/Leg),Cochlear Implant Chips,3960531,USA,Weak Password Policy,3
1747,Knee,Neuroprosthetic Chips,5344908,USA,,
1748,Heart,Össur Proprio Foot Prosthetic Foot,3317050,USA,,
1749,Hand,Myoelectric Control Chips,4033383,USA,,
1750,Ear,Artificial Pancreas Control Chips,4809686,USA,,
1751,Hand,Cochlear Implant Chips,5630598,USA,,
1752,Hand,Retinal Implant Chips,2100117,USA,,
1753,Leg,POWER KNEE by Össur,4307981,USA,,
1754,Limbs (Arm/Leg),Artificial Pancreas Control Chips,2365036,UK,,
1755,Bladder,Cochlear Implant Chips,4388299,USA,,
1756,Pancreas,Artificial Urinary Sphincter Control System,5131873,Switzerland,,
1757,Eye,Össur Proprio Foot Prosthetic Foot,4778532,USA,,
1758,Eye,Modular Prosthetic Limb Control System,135800,China,,
1759,Arm,i-Limb Ultra Prosthetic Hand Control System,6147103,USA,,
1760,Hip,Neurostimulator Implants for Chronic Pain,258535,China,Software Vulnerabilities,8
1761,Leg,Neuroprosthetic Chips,1263953,Germany,,
1762,Ankle,Myoelectric Control Chips,2445825,USA,,
1763,Eye,Retinal Implant Chips,3841773,USA,,
1764,Eye,Artificial Urinary Sphincter Control System,3248102,USA,Software Vulnerabilities,2
1765,Ankle,Myoelectric Control Chips,1968579,Switzerland,,
1766,Foot,i-Limb Ultra Prosthetic Hand Control System,2934454,Germany,,
1767,Eye,Modular Prosthetic Limb Control System,4119776,USA,,
1768,Ear,Artificial Urinary Sphincter Control System,1998766,USA,,
1769,Pancreas,Integra LifeSciences Cadence Total Ankle System,6420380,USA,,
1770,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,6177475,USA,,
1771,Foot,Artificial Pancreas Control Chips,5718142,USA,Weak Password Policy,2
1772,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,6767556,USA,,
1773,Heart,POWER KNEE by Össur,4901562,USA,,
1774,Heart,DePuy Synthes ATTUNE® Primary Total Hip System,5810204,USA,,
1775,Shoulder,Artificial Pancreas Control Chips,5423955,USA,Weak Password Policy,2
1776,Pancreas,POWER KNEE by Össur,4164800,Switzerland,,
1777,Bladder,i-Limb Ultra Prosthetic Hand Control System,4059285,USA,Communication Vulnerabilities,2
1778,Heart,Össur Proprio Foot Prosthetic Foot,4542723,USA,,
1779,Spine,Neuroprosthetic Chips,2876991,USA,,
1780,Hand,Neurostimulator Implants for Chronic Pain,6546978,USA,,
1781,Bladder,Retinal Implant Chips,6998491,USA,Software Vulnerabilities,3
1782,Knee,Integra LifeSciences Cadence Total Ankle System,2570474,Switzerland,,
1783,Foot,i-Limb Ultra Prosthetic Hand Control System,3477138,Iceland,,
1784,Eye,Neurostimulator Implants for Chronic Pain,6484755,Germany,,
1785,Knee,Modular Prosthetic Limb Control System,143917,China,Communication Vulnerabilities,7
1786,Limbs (Arm/Leg),Integra LifeSciences Cadence Total Ankle System,5735651,USA,Software Vulnerabilities,9
1787,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,4369797,USA,Communication Vulnerabilities,1
1788,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,1540170,USA,,
1789,Hand,Artificial Urinary Sphincter Control System,5118772,Switzerland,,
1790,Heart,Myoelectric Control Chips,1189107,Iceland,,
1791,Leg,Neuroprosthetic Chips,1071702,UK,,
1792,Cochlea,Integra LifeSciences Cadence Total Ankle System,4570343,USA,,
1793,Hip,Zimmer Biomet Comprehensive Reverse Shoulder System,2909556,USA,,
1794,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,5198158,USA,,
1795,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,6098099,USA,,
1796,Spine,Integra LifeSciences Cadence Total Ankle System,6916660,USA,,
1797,Bladder,Retinal Implant Chips,6266437,USA,,
1798,Heart,Cardiac Implant Chips,2376820,USA,,
1799,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,2065358,Germany,Communication Vulnerabilities,3
1800,Foot,Myoelectric Control Chips,6202424,USA,,
1801,Bladder,Össur Proprio Foot Prosthetic Foot,991690,USA,,
1802,Ankle,Neuroprosthetic Chips,189250,China,,
1803,Hip,Cochlear Implant Chips,3418052,USA,,
1804,Eye,Artificial Urinary Sphincter Control System,145221,China,Communication Vulnerabilities,7
1805,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,6520628,USA,,
1806,Eye,POWER KNEE by Össur,6321497,USA,,
1807,Hip,POWER KNEE by Össur,6131705,USA,Software Vulnerabilities,9
1808,Ankle,Artificial Urinary Sphincter Control System,2461984,Switzerland,,
1809,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,4339900,Germany,,
1810,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,4434812,USA,,
1811,Spine,Cochlear Implant Chips,6400353,Switzerland,Software Vulnerabilities,7
1812,Eye,Retinal Implant Chips,1369521,USA,,
1813,Eye,Cardiac Implant Chips,1168291,USA,,
1814,Ear,Myoelectric Control Chips,4495442,USA,,
1815,Shoulder,Neurostimulator Implants for Chronic Pain,3642024,Germany,Hardware Vulnerabilities,6
1816,Pancreas,Cochlear Implant Chips,2838956,USA,,
1817,Foot,Advanced Bionics HiRes Ultra Cochlear Implant,5281882,USA,,
1818,Cochlea,Modular Prosthetic Limb Control System,2534348,USA,Communication Vulnerabilities,1
1819,Arm,Artificial Urinary Sphincter Control System,6551135,USA,Software Vulnerabilities,6
1820,Leg,Artificial Urinary Sphincter Control System,2606726,USA,,
1821,Ankle,Cardiac Implant Chips,4078118,Iceland,,
1822,Arm,Zimmer Biomet Comprehensive Reverse Shoulder System,6787251,USA,,
1823,Brain,Myoelectric Control Chips,2034333,USA,,
1824,Leg,Neuroprosthetic Chips,5858834,USA,,
1825,Cochlea,Advanced Bionics HiRes Ultra Cochlear Implant,2208587,USA,,
1826,Leg,Cochlear Implant Chips,2128148,Switzerland,,
1827,Ankle,Neurostimulator Implants for Chronic Pain,1049804,Iceland,,
1828,Eye,Artificial Urinary Sphincter Control System,5427331,Iceland,,
1829,Heart,Artificial Pancreas Control Chips,1209265,USA,,
1830,Hip,Retinal Implant Chips,246814,China,Hardware Vulnerabilities,8
1831,Eye,Myoelectric Control Chips,5843928,USA,,
1832,Cochlea,i-Limb Ultra Prosthetic Hand Control System,1868499,USA,,
1833,Shoulder,Össur Proprio Foot Prosthetic Foot,6684735,USA,Hardware Vulnerabilities,1
1834,Leg,Cochlear Implant Chips,2252800,Germany,,
1835,Cochlea,i-Limb Ultra Prosthetic Hand Control System,3240217,USA,Communication Vulnerabilities,2
1836,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,6568988,USA,,
1837,Arm,Neuroprosthetic Chips,91671,China,Weak Password Policy,8
1838,Cochlea,Cardiac Implant Chips,907176,USA,,
1839,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,977451,USA,,
1840,Limbs (Arm/Leg),DePuy Synthes ATTUNE® Primary Total Hip System,6610668,Germany,,
1841,Ear,Össur Proprio Foot Prosthetic Foot,6469629,Germany,,
1842,Bladder,Integra LifeSciences Cadence Total Ankle System,5537297,USA,,
1843,Hip,POWER KNEE by Össur,5750281,USA,,
1844,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,2120500,USA,,
1845,Hip,Modular Prosthetic Limb Control System,987395,Germany,,
1846,Ankle,Artificial Urinary Sphincter Control System,2427352,Germany,,
1847,Spine,Integra LifeSciences Cadence Total Ankle System,5812710,USA,,
1848,Brain,Neurostimulator Implants for Chronic Pain,3045443,USA,,
1849,Bladder,GENUTECH Genutrain OA Prosthetic Knee Implant,1668534,USA,,
1850,Spine,POWER KNEE by Össur,6397718,USA,,
1851,Cochlea,Artificial Urinary Sphincter Control System,2569802,USA,,
1852,Limbs (Arm/Leg),Cochlear Implant Chips,965125,Iceland,,
1853,Eye,POWER KNEE by Össur,4043650,USA,,
1854,Foot,Integra LifeSciences Cadence Total Ankle System,5601596,USA,,
1855,Leg,Cochlear Implant Chips,853537,USA,,
1856,Bladder,Retinal Implant Chips,5841554,USA,,
1857,Cochlea,i-Limb Ultra Prosthetic Hand Control System,4693277,USA,,
1858,Hip,Neurostimulator Implants for Chronic Pain,1513136,UK,,
1859,Shoulder,GENUTECH Genutrain OA Prosthetic Knee Implant,2665730,USA,,
1860,Spine,Neurostimulator Implants for Chronic Pain,876325,UK,,
1861,Limbs (Arm/Leg),Modular Prosthetic Limb Control System,6991138,UK,,
1862,Knee,Advanced Bionics HiRes Ultra Cochlear Implant,1311104,Iceland,,
1863,Foot,Neurostimulator Implants for Chronic Pain,2643887,Iceland,,
1864,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,6335248,USA,,
1865,Knee,Össur Proprio Foot Prosthetic Foot,2732246,Switzerland,,
1866,Eye,POWER KNEE by Össur,6309443,USA,,
1867,Brain,POWER KNEE by Össur,1873168,USA,,
1868,Ankle,Myoelectric Control Chips,5367131,USA,,
1869,Arm,Cardiac Implant Chips,4382316,USA,,
1870,Leg,GENUTECH Genutrain OA Prosthetic Knee Implant,1179136,USA,,
1871,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,6464744,USA,,
1872,Pancreas,Neuroprosthetic Chips,3108430,UK,,
1873,Heart,Neuroprosthetic Chips,1549528,USA,,
1874,Hand,Myoelectric Control Chips,6773679,USA,,
1875,Arm,Neurostimulator Implants for Chronic Pain,3014754,Switzerland,,
1876,Cochlea,Artificial Urinary Sphincter Control System,3732882,USA,,
1877,Brain,Össur Proprio Foot Prosthetic Foot,4263123,USA,Software Vulnerabilities,3
1878,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,6853163,USA,,
1879,Foot,POWER KNEE by Össur,3617569,Germany,,
1880,Limbs (Arm/Leg),Myoelectric Control Chips,2018678,USA,,
1881,Bladder,Integra LifeSciences Cadence Total Ankle System,6454860,USA,Communication Vulnerabilities,7
1882,Knee,Myoelectric Control Chips,2352461,Iceland,Weak Password Policy,8
1883,Ankle,DePuy Synthes ATTUNE® Primary Total Hip System,5152701,USA,,
1884,Knee,Modular Prosthetic Limb Control System,2018307,USA,,
1885,Eye,Neuroprosthetic Chips,6560963,USA,,
1886,Knee,Integra LifeSciences Cadence Total Ankle System,5608008,USA,,
1887,Bladder,Artificial Urinary Sphincter Control System,5313417,USA,Communication Vulnerabilities,2
1888,Hand,POWER KNEE by Össur,4415484,USA,,
1889,Leg,Modular Prosthetic Limb Control System,5557867,Germany,,
